address,lat,long,district
"01, Ngõ 18 Ngô Quyền, Hà Đông, Quận Hà Đông, Thành phố Hà Nội, 193824, Việt Nam",20.971,105.766,hà đông
"1, , Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.071,105.773,bắc từ liêm
"1, Ngách 264/21 Âu Cơ, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.074,105.827,tây hồ
"1, Ngõ 19 Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.016,105.825,đống đa
"1, Ngõ 279 Đội Cấn, Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.036,105.82,ba đình
"1, Ngõ 4 Bánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, 0914663166, Việt Nam",20.993,105.73,
"1, Ngõ 431 Âu Cơ, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.077,105.82,tây hồ
"1, Ngố 95 Phố Kẻ Tạnh, Giang Biên, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.062,105.916,long biên
"1, Phố Kim Đồng, Hoàng Mai, Thành phố Hà Nội, 1000000, Việt Nam",20.983,105.842,hoàng mai
"1, Phố Thanh Lân, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.993,105.889,hoàng mai
"1, Phố Đại Đồng, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.997,105.881,hoàng mai
"1, ngách 53/49, Đức Giang, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.065,105.891,long biên
"1, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.037,105.757,nam từ liêm
"10, 422/14/20, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.069,105.905,long biên
"10, Ngõ 252 Ngọc Thụy, Trung Hà, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội, 115005, Việt Nam",21.055,105.866,long biên
"10, Ngõ 346 Phố Nam Dư, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.977,105.885,hoàng mai
"10, Ngõ 60 Đường Khuê, Quận Cầu Giấy, Thành phố Hà Nội, 100925, Việt Nam",21.035,105.772,cầu giấy
"10, Ngõ 64, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.027,105.909,long biên
"10, Ngõ 95 Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, 120911, Việt Nam",21.006,105.828,đống đa
"10, Phố Phúc Xá, Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội, 100999, Việt Nam",21.046,105.849,ba đình
"10, Phố Ô Chợ Dừa, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.019,105.829,đống đa
"10, Sông Nhuệ, Phường Đức Thắng, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.075,105.772,bắc từ liêm
"10, Số 3 ngách, Ngõ 135 Nguyễn Văn Cừ, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.044,105.87,long biên
"100 ngõ 553 Giải Phóng, 35 ngõ 67, Ngõ 67 Đường Giáp Bát, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.989,105.843,hoàng mai
"100, Ngõ 61 Phố Trạm, Long Biên, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.023,105.892,long biên
"100, Phố Lệ Mật, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.057,105.899,long biên
"100, Đường Nguyễn Văn Cừ, Ái Mộ, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.041,105.869,long biên
"100, Đường Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.04,105.738,nam từ liêm
"101, Phố Gia Thụy, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.048,105.889,long biên
"101, Đường 72, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, 0914663166, Việt Nam",20.991,105.727,
"101, Đường Nguyễn Hoàng Tôn, Phường Xuân La, Phường Xuân Tảo, Quận Tây Hồ, Thành phố Hà Nội, 124224, Việt Nam",21.071,105.807,tây hồ
"101A Nguyễn Khuyến, 101A, Phố Nguyễn Khuyến, Phường Văn Miếu, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 111103, Việt Nam",21.028,105.838,đống đa
"102, Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, +842435373535, Việt Nam",21.019,105.821,đống đa
"103, Ngách 24/2 Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 120406, Việt Nam",20.989,105.772,nam từ liêm
"103, Ngõ 466 Ngô Gia Tự, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.069,105.907,long biên
"105, Phố Nguyễn Thị Định, Quận Cầu Giấy, Thành phố Hà Nội, 170, Việt Nam",21.009,105.805,cầu giấy
"105, Đường Nguyễn Tuân, Quận Thanh Xuân, Thành phố Hà Nội, 1000001, Việt Nam",20.997,105.804,thanh xuân
"105E5 Thái Thịnh, Phố Thái Thịnh, Phường Ngã Tư Sở, Phường Thịnh Quang, Quận Đống Đa, Thành phố Hà Nội, 123025, Việt Nam",21.008,105.821,đống đa
"106, Ngõ 521 Trương Định, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 1000000, Việt Nam",20.979,105.846,hoàng mai
"106B-106C Trần Phú, Đường Trần Phú, Hà Đông, Quận Hà Đông, Thành phố Hà Nội, 120406, Việt Nam",20.979,105.786,hà đông
"108, Phố Sơn Tây, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.033,105.83,ba đình
"108, Phố Thúy Lĩnh, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.974,105.894,hoàng mai
"11, Ngách 124/22 Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.063,105.834,tây hồ
