Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá,number_of_order,average_1,average_2
128300,Bưu cục cấp 3 Đô Thị Định Công,"12D18, Khu chung cư Định Công, Phường Định Công, Quận Hoàng Mai",20.98441327,105.8334252,hoàng mai,12,52,4.333333333333333,0.23076923076923078
127800,Bưu cục cấp 3 Trần Phú,"585 Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai",20.98029255,105.8860852,hoàng mai,15,83,5.533333333333333,0.18072289156626506
116000,Bưu cục cấp 3 Kim Liên,"Dãy nhà B15, Khu tập thể Kim Liên, Phường Kim Liên, Quận Đống Đa",21.00741414,105.8351221,đống đa,20,33,1.65,0.6060606060606061
120500,Bưu cục cấp 3 Thanh Xuân Bắc,"Dãy nhà C10, Khu tập thể Thanh Xuân Bắc, Phường Thanh Xuân Bắc, Quận Thanh Xuân",21.02314833,105.8140952,thanh xuân,18,0,0.0,-1.0
118400,Bưu cục cấp 3 Giảng Võ,"Dãy nhà D2, Khu tập thể Giảng Võ, Phường Giảng Võ, Quận Ba Đình",21.02614366,105.8224256,ba đình,16,7,0.4375,2.2857142857142856
112200,Bưu cục cấp 3 Nguyễn Công Trứ,"Dãy nhà N8, Khu tập thể Nguyễn Công Trứ, Phường Phố Huế, Quận Hai Bà Trưng",21.01311787,105.8524946,hai bà trưng,11,23,2.090909090909091,0.4782608695652174
128200,Bưu cục cấp 3 Bắc Linh Đàm,"Khu Đô Thị Bắc Linh Đàm, Phường Đại Kim, Quận Hoàng Mai",20.97053374,105.8263102,hoàng mai,14,43,3.0714285714285716,0.32558139534883723
128376,Bưu cục văn phòng BĐTT6,"Phố Định Công, Phường Định Công, Quận Hoàng Mai",20.98474119,105.8393173,hoàng mai,5,12,2.4,0.4166666666666667
151831,Điểm BĐVHX Vạn Phúc,"Sô´0 số, Khối Chiến Thắng, Phường Vạn Phúc, Quận Hà Đông",20.97930116,105.7960147,hà đông,12,21,1.75,0.5714285714285714
151081,Điểm BĐVHX Mộ Lao,"Sô´0 số, Khối Mỗ Lao, Phường Mỗ Lao, Quận Hà Đông",20.98390653,105.7813981,hà đông,7,33,4.714285714285714,0.21212121212121213
152480,Điểm BĐVHX Phú Lương,"Sô´0 số, Tổ dân phố số 9 Nhân Trạch, Phường Phú Lương, Quận Hà Đông",20.94180823,105.76722,hà đông,18,4,0.2222222222222222,4.5
152382,Điểm BĐVHX Bưu điện Kiến Hưng,"Sô´0, Tổ dân phố số 9, Phường Kiến Hưng, Quận Hà Đông",20.96383135,105.7847346,hà đông,20,26,1.3,0.7692307692307693
123075,Bưu cục cấp 3 KHL EMS,"Sô´01, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy",21.01354812,105.8020459,cầu giấy,10,90,9.0,0.1111111111111111
151506,Bưu cục văn phòng VP Công ty VCKV BĐ,"Sô´1, Phố Chu Văn An, Phường Yết Kiêu, Quận Hà Đông",20.97395745,105.7780475,hà đông,20,22,1.1,0.9090909090909091
110307,Hòm thư Công cộng độc lập phố Hàng Đào,"Sô´1, Phố Hàng Đào, Phường Hàng Đào, Quận Hoàn Kiếm",21.03428913,105.8507735,hoàn kiếm,9,7,0.7777777777777778,1.2857142857142858
111413,Bưu cục văn phòng In báo Quân Đội,"Sô´1, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm",21.0374703,105.8459816,hoàn kiếm,14,8,0.5714285714285714,1.75
116177,Hòm thư Công cộng độc lập Trường Đại học Y,"Sô´1, Phố Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa",21.0059966,105.8312052,đống đa,16,24,1.5,0.6666666666666666
101006,Bưu cục cấp 3 [EMS] Giao dịch Tân Xuân,"Sô´1, Đường Tân Xuân, Xã Xuân Đỉnh, Quận Nam Từ Liêm",21.07817613,105.7864158,nam từ liêm,10,0,0.0,-1.0
143110,Bưu cục cấp 3 KHL Bắc Từ Liêm 2,"Sô´10, Đường 32, Phường Minh Khai, Quận Bắc Từ Liêm",21.03673354,105.7802796,bắc từ liêm,19,136,7.157894736842105,0.13970588235294118
143310,Bưu cục cấp 3 Xuân Đỉnh,"Sô´101, Dãy nhà CT1, Khu tập thể Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm",21.07158425,105.7975798,bắc từ liêm,15,55,3.6666666666666665,0.2727272727272727
110911,Hòm thư Công cộng độc lập phố Hàng Bạc,"Sô´101, Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm",21.03434347,105.8520504,hoàn kiếm,8,12,1.5,0.6666666666666666
151090,Bưu cục cấp 3 Văn Mỗ,"Sô´105, Phố Trần Phú, Phường Văn Quán, Quận Hà Đông",20.97714106,105.783569,hà đông,16,39,2.4375,0.41025641025641024
152150,Điểm BĐVHX Hà Cầu,"Sô´109, Khu Hà Trì ( Đường Trục Chính ), Phường Hà Cầu, Quận Hà Đông",20.96645132,105.7771586,hà đông,5,27,5.4,0.18518518518518517
113100,Bưu cục cấp 3 Lò Đúc,"Sô´114, Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng",21.01350925,105.8577827,hai bà trưng,5,38,7.6,0.13157894736842105
127580,Bưu cục cấp 3 Nguyễn An Ninh,"Sô´12, Phố Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai",20.98902097,105.8463936,hoàng mai,9,53,5.888888888888889,0.16981132075471697
129629,Điểm BĐVHX Bưu điện Xuân Phương,"Sô´129, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm",21.03468437,105.7468765,nam từ liêm,8,35,4.375,0.22857142857142856
123105,Hòm thư Công cộng độc lập trường Đại học Quốc gia Hà Nội,"Sô´136, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy",21.03685368,105.7843146,cầu giấy,13,61,4.6923076923076925,0.21311475409836064
