lat,long,district,min_distances,po_code
21.016,105.825,đống đa,0.0038588923835254,115070.0
21.036,105.82,ba đình,0.0008539350668546,119511.0
21.037,105.757,nam từ liêm,0.0085176790137904,129733.0
21.035,105.772,cầu giấy,0.0035386293089767,122801.0
21.006,105.828,đống đa,0.0032052018033155,116177.0
21.046,105.849,ba đình,0.0025026506994838,119197.0
21.019,105.829,đống đa,0.0017399790007068,115490.0
21.04,105.738,nam từ liêm,0.0040416048420881,130690.0
21.028,105.838,đống đa,0.0072966655205114,115545.0
21.019,105.821,đống đa,0.0039087385512965,117127.0
20.989,105.772,nam từ liêm,0.0074029607333562,130301.0
21.009,105.805,cầu giấy,0.0054232925741154,123075.0
20.997,105.804,thanh xuân,0.000529165108928,120065.0
21.008,105.821,đống đa,0.0007694664791259,115000.0
21.033,105.83,ba đình,0.0010194067924095,118733.0
21.005,105.833,đống đa,0.0020529292730139,116177.0
21.034,105.79,cầu giấy,0.0063613884256863,123105.0
21.02,105.822,đống đa,0.0039322254592539,117127.0
21.018,105.745,nam từ liêm,0.0156574855096111,130658.0
20.998,105.805,thanh xuân,0.0018046372800464,120065.0
21.038,105.742,nam từ liêm,0.0041689242856672,130690.0
21.01,105.799,cầu giấy,0.0046761803156336,123075.0
21.027,105.828,đống đa,0.0033970410239511,115545.0
21.006,105.851,hai bà trưng,0.0033690295018578,114001.0
21.035,105.846,hoàn kiếm,0.0024703685251383,111413.0
20.998,105.804,thanh xuân,0.0010960454883379,120065.0
21.015,105.83,đống đa,0.0035323697445891,115356.0
21.015,105.804,cầu giấy,0.0024344326535,123075.0
21.009,105.833,đống đa,0.0026491999451968,116000.0
21.042,105.782,cầu giấy,0.0056428700766932,123105.0
20.995,105.773,nam từ liêm,0.0055339414181671,130301.0
21.009,105.816,đống đa,0.0039626200205899,117130.0
21.012,105.812,đống đa,0.0082152856232041,117000.0
20.997,105.845,hai bà trưng,0.0023328948873879,113068.0
21.018,105.812,đống đa,0.0040556821708346,117000.0
21.006,105.822,đống đa,0.0015333227522285,115000.0
20.997,105.825,thanh xuân,0.0024360132064699,120700.0
21.02,105.828,đống đa,0.0010374906856984,115490.0
21.011,105.81,cầu giấy,0.0083522824631654,123075.0
21.039,105.738,nam từ liêm,0.0030467769363061,130690.0
20.987,105.767,nam từ liêm,0.0127251038353276,130301.0
21.027,105.829,đống đa,0.0026464859188051,115545.0
21.046,105.8,cầu giấy,0.000502163272351,122772.0
21.037,105.855,hoàn kiếm,0.0021213763957662,111515.0
21.028,105.825,ba đình,0.0031738830406303,118400.0
21.019,105.843,hai bà trưng,0.0013200503423774,112617.0
21.015,105.797,cầu giấy,0.0051951261239801,123080.0
21.006,105.834,đống đa,0.0018052424628319,116000.0
21.023,105.842,hoàn kiếm,0.0049077876199401,111000.0
20.991,105.849,hai bà trưng,0.0085815895121838,113068.0
20.995,105.845,hai bà trưng,0.0042092467919558,113068.0
21.035,105.748,nam từ liêm,0.0011669938075723,129629.0
21.031,105.834,ba đình,0.0035613916112082,118733.0
21.032,105.845,hoàn kiếm,0.0001944400257162,111400.0
21.023,105.832,đống đa,0.0060267044827906,115490.0
21.022,105.777,nam từ liêm,0.0093471377904885,130679.0
21.03,105.827,ba đình,0.0039206347971368,118518.0
