address,lat,long
"559 Chu Minh, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.189,105.438
"Bưu điện viettel tây đằng, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.187,105.439
"Chùa Phúc Lâm, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.192,105.433
"Công ty Điện lực Ba Vì, Đường Quảng Oai, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.202,105.419
"Cửa hàng Xăng dầu Tùng Lâm, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.166,105.466
"Cửa hàng vật tư thiết bị Duy Dũng, Đường Quảng Oai, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.2,105.422
"Ngã 3 Đồng Bảng - Đồng Thái, Đường tỉnh 411C, Yên Bồ, Ba Vì, Thành phố Hà Nội, Việt Nam",21.215,105.404
"Petrolimex, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.195,105.43
"Quốc lộ 32, Phú Hữu, Ba Vì, Thành phố Hà Nội, Việt Nam",21.225,105.381
"Siêu thị Lan Chi, Quốc lộ 32, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.206,105.417
"Trung tâm Giáo dục thường xuyên Ba Vì, Quốc lộ 32, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.211,105.413
"Trung tâm thương mại Lực Tiến, Đường Quảng Oai, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.187,105.438
"Trước ngã 3 Đồng Bảng - Đồng Thái, Đường tỉnh 411C, Yên Bồ, Ba Vì, Thành phố Hà Nội, Việt Nam",21.215,105.403
"Trước đường vào xã Cam Thượng, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.169,105.462
"Trường THCS Cẩm Lĩnh, Đường tỉnh 413, Ba Vì, Thành phố Hà Nội, Việt Nam",21.185,105.361
"Trường THCS Phú Châu, Đường Phú Mỹ, Ba Vì, Thành phố Hà Nội, Việt Nam",21.233,105.424
"Trường THCS Phú Cường, Cầu Văn Lang, Ba Vì, Thành phố Hà Nội, Tỉnh Phú Thọ, 291000, Việt Nam",21.287,105.404
"Trường THCS Sơn Đà, Đường tỉnh 413, Ba Vì, Thành phố Hà Nội, Việt Nam",21.181,105.303
"Trường THCS Xã Châu Sơn, Đường tỉnh 411B, Ba Vì, Thành phố Hà Nội, 291000, Việt Nam",21.26,105.422
"Trường THCS Đông Quang, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.178,105.449
"Trường THPT Bất Bạt, Đường tỉnh 413, Ba Vì, Thành phố Hà Nội, Việt Nam",21.182,105.303
"Trại giống Đông Quang Ba Vì, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.174,105.453
"Trạm Xe Bus Đối diện THCS Đông Quang, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.177,105.449
"Trạm y tế Đông Quang, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.181,105.445
"Tổ Quốc Ghi Công, Đường tỉnh 413, Ba Vì, Thành phố Hà Nội, Việt Nam",21.18,105.305
"khách sạn vạn an, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.176,105.451
"Điểm đỗ xe buýt Bất Bạt, Đường tỉnh 413, Ba Vì, Thành phố Hà Nội, Việt Nam",21.179,105.305
"Đối diện siêu thị Lan Chi, Quốc lộ 32, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.207,105.416
"Đối diện đường vào xã Cam Thượng, Quốc lộ 32, Ba Vì, Thành phố Hà Nội, Việt Nam",21.168,105.463
"Ủy Ban Nhân Dân Huyện Ba Vì, Đường Quảng Oai, Xóm Chùa, Ba Vì, Thành phố Hà Nội, Việt Nam",21.198,105.424
"1, Ngõ 19 Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.016,105.825
"1, Ngõ 279 Đội Cấn, Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.036,105.82
"1, Ngố 95 Phố Kẻ Tạnh, Giang Biên, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.062,105.916
"1, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.037,105.757
"10, Ngõ 252 Ngọc Thụy, Trung Hà, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội, 115005, Việt Nam",21.055,105.866
"10, Ngõ 60 Đường Khuê, Quận Cầu Giấy, Thành phố Hà Nội, 100925, Việt Nam",21.035,105.772
"10, Ngõ 64, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.027,105.909
"10, Ngõ 95 Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, 120911, Việt Nam",21.006,105.828
"10, Phố Phúc Xá, Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội, 100999, Việt Nam",21.046,105.849
"10, Phố Ô Chợ Dừa, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.019,105.829
"10, Số 3 ngách, Ngõ 135 Nguyễn Văn Cừ, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.044,105.87
"100, Ngõ 61 Phố Trạm, Long Biên, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.023,105.892
"100, Phố Lệ Mật, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.057,105.899
"100, Đường Nguyễn Văn Cừ, Ái Mộ, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.041,105.869
"100, Đường Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.04,105.738
"101, Phố Gia Thụy, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.048,105.889
"101A Nguyễn Khuyến, 101A, Phố Nguyễn Khuyến, Phường Văn Miếu, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 111103, Việt Nam",21.028,105.838
"102, Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, +842435373535, Việt Nam",21.019,105.821
"105, Phố Nguyễn Thị Định, Quận Cầu Giấy, Thành phố Hà Nội, 170, Việt Nam",21.009,105.805
"105E5 Thái Thịnh, Phố Thái Thịnh, Phường Ngã Tư Sở, Phường Thịnh Quang, Quận Đống Đa, Thành phố Hà Nội, 123025, Việt Nam",21.008,105.821
"108, Phố Sơn Tây, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.033,105.83
"11, Ngách 124/22 Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.063,105.834
"11, Ngõ 243 Ngọc Lâm, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.047,105.871
"11, Ngõ 41 Đông Tác, Phường Kim Liên, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 1000000, Việt Nam",21.005,105.833
"11, Ngõ 45 Trần Thái Tông, Quận Cầu Giấy, Thành phố Hà Nội, 122000, Việt Nam",21.034,105.79
"11, Phố Gia Thụy, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.049,105.89
"11, Phố Quàng Khành, Quảng An, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.062,105.82
"110, Ngõ 34 Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.02,105.822
"111, Phố Miêu Nha, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",21.018,105.745
"111, Đường Nguyễn Sơn, Phường Gia Thụy, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.046,105.88
"112, Phố Hòe Thị, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.038,105.742
"113 Trần Duy Hưng, Đường Trần Duy Hưng, Quận Cầu Giấy, Thành phố Hà Nội, 000000, Việt Nam",21.01,105.799
"113, Phố Hoàng Như Tiếp, Bồ Đề, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.04,105.878
