lat,long,district,min_distances,po_code
20.971,105.766,hà đông,0.004860472275005947,152261
21.071,105.773,bắc từ liêm,0.0033702537284499698,143610
21.074,105.827,tây hồ,0.015451516819467222,124068
21.016,105.825,đống đa,0.0038588923835254393,115070
21.036,105.82,ba đình,0.0008539350668546164,119511
20.993,105.73,,,
21.077,105.82,tây hồ,0.01015566206715833,124068
21.062,105.916,long biên,0.0029354883573472937,126000
20.983,105.842,hoàng mai,0.0005856752462751918,128181
20.993,105.889,hoàng mai,0.002343735157573983,128600
20.997,105.881,hoàng mai,0.006942395443142218,128600
21.065,105.891,long biên,0.006731662432240359,125400
21.037,105.757,nam từ liêm,0.008517679013790466,129733
21.069,105.905,long biên,0.0077580450813932635,126414
21.055,105.866,long biên,0.010922554015626777,125000
20.977,105.885,hoàng mai,0.003466777255966869,127800
21.035,105.772,cầu giấy,0.0035386293089767792,122801
21.027,105.909,long biên,0.008657238976189792,125600
21.006,105.828,đống đa,0.0032052018033155655,116177
21.046,105.849,ba đình,0.0025026506994838774,119197
21.019,105.829,đống đa,0.00173997900070684,115490
21.075,105.772,bắc từ liêm,0.00517703488437672,143610
21.044,105.87,long biên,0.00592295755719204,125000
20.989,105.843,hoàng mai,0.0033936647891135313,127580
21.023,105.892,long biên,0.026119544917385298,125600
21.057,105.899,long biên,0.005667119517391295,125656
21.041,105.869,long biên,0.008819225942469488,125000
21.04,105.738,nam từ liêm,0.004041604842088162,130690
21.048,105.889,long biên,0.008508341608969159,125900
20.991,105.727,,,
21.071,105.807,tây hồ,0.0025122490645800803,124065
21.028,105.838,đống đa,0.007296665520511494,115545
21.019,105.821,đống đa,0.003908738551296555,117127
20.989,105.772,nam từ liêm,0.00740296073335626,130301
21.069,105.907,long biên,0.009616322763138662,126414
21.009,105.805,cầu giấy,0.005423292574115411,123075
20.997,105.804,thanh xuân,0.0005291651089280373,120065
21.008,105.821,đống đa,0.0007694664791259372,115000
20.979,105.846,hoàng mai,0.006188419466563866,128181
20.979,105.786,hà đông,0.003060297195306386,151090
21.033,105.83,ba đình,0.001019406792409553,118733
20.974,105.894,hoàng mai,0.010111391820251886,127800
21.063,105.834,tây hồ,0.012686152014068803,124700
21.075,105.827,tây hồ,0.0156806910569102,124068
21.066,105.88,long biên,0.012480296348043814,125900
21.047,105.871,long biên,0.0035191058842248824,125000
21.005,105.833,đống đa,0.002052929273013928,116177
21.034,105.79,cầu giấy,0.006361388425686388,123105
21.049,105.89,long biên,0.007707490962362479,125900
21.062,105.82,tây hồ,0.012087885341211038,124068
21.02,105.822,đống đa,0.003932225459253906,117127
21.018,105.745,nam từ liêm,0.015657485509611147,130658
21.046,105.88,long biên,0.0059651442752400256,125000
21.069,105.826,tây hồ,0.014275428961055723,124068
20.998,105.805,thanh xuân,0.001804637280046425,120065
21.038,105.742,nam từ liêm,0.0041689242856672954,130690
21.01,105.799,cầu giấy,0.00467618031563368,123075
21.04,105.878,long biên,0.008773687151048135,125000
21.072,105.815,tây hồ,0.0033202367419278497,124068
21.027,105.828,đống đa,0.003397041023951159,115545
21.006,105.851,hai bà trưng,0.003369029501857805,114001
21.035,105.846,hoàn kiếm,0.0024703685251383474,111413
20.965,105.863,hoàng mai,0.007794192825745933,128400
21.054,105.837,tây hồ,0.003304728873007512,124700
20.979,105.848,hoàng mai,0.007778954653043338,128181
20.998,105.804,thanh xuân,0.001096045488337995,120065
20.972,105.848,hoàng mai,0.012968276504380325,128181
20.992,105.844,hoàng mai,0.0038215102644029646,127580
21.048,105.815,tây hồ,0.007086480924833549,124600
21.015,105.83,đống đa,0.0035323697445891833,115356
21.071,105.8,bắc từ liêm,0.002489722093430135,143310
21.073,105.901,long biên,0.007819144677320705,126414
20.973,105.841,hoàng mai,0.010200049779001895,128181
20.976,105.882,hoàng mai,0.00592577796938526,127800
20.979,105.829,hoàng mai,0.006991844329854582,128300
20.959,105.804,,,
21.015,105.804,cầu giấy,0.0024344326535000174,123075
21.009,105.833,đống đa,0.0026491999451968263,116000
21.075,105.908,long biên,0.01363465083839428,126414
21.06,105.901,long biên,0.004447012887808562,125656
20.987,105.848,hoàng mai,0.002581635276506146,127580
21.057,105.902,long biên,0.007184486315970704,125656
21.042,105.782,cầu giấy,0.005642870076693257,123105
21.054,105.788,bắc từ liêm,0.01891388952837279,143110
20.995,105.773,nam từ liêm,0.005533941418167116,130301
21.035,105.736,,,
21.025,105.921,long biên,0.00554980240107138,125600
20.989,105.818,hoàng mai,0.008203968745316188,128252
20.986,105.855,hoàng mai,0.006215075369611457,128180
21.041,105.87,long biên,0.00824773582410944,125000
21.009,105.816,đống đa,0.0039626200205899265,117130
21.012,105.812,đống đa,0.008215285623204132,117000
20.972,105.841,hoàng mai,0.011199178340131283,128181
20.997,105.845,hai bà trưng,0.002332894887387936,113068
21.051,105.808,tây hồ,0.0023671231269382547,124600
21.037,105.873,long biên,0.011076520492663486,125000
21.049,105.815,tây hồ,0.007067604395976354,124600
21.039,105.759,bắc từ liêm,0.02139995834322101,143110
21.018,105.812,đống đa,0.004055682170834621,117000
21.006,105.822,đống đa,0.0015333227522285305,115000
20.987,105.858,hoàng mai,0.0031927671148981158,128180
20.967,105.875,hoàng mai,0.004522649865388268,128400
20.997,105.825,thanh xuân,0.002436013206469987,120700
21.02,105.828,đống đa,0.0010374906856984436,115490
21.011,105.81,cầu giấy,0.008352282463165436,123075
21.039,105.738,nam từ liêm,0.003046776936306159,130690
20.987,105.767,nam từ liêm,0.012725103835327671,130301
20.968,105.842,hoàng mai,0.014843616641789209,128540
21.046,105.75,bắc từ liêm,0.03166577738018742,143110
21.07,105.83,tây hồ,0.01816795453600164,124068
21.027,105.829,đống đa,0.002646485918805177,115545
21.046,105.8,cầu giấy,0.0005021632723510821,122772
21.064,105.831,tây hồ,0.014959379429778943,124700
20.967,105.842,hoàng mai,0.014600664197508186,128540
21.037,105.855,hoàn kiếm,0.0021213763957662413,111515
21.028,105.825,ba đình,0.003173883040630328,118400
20.992,105.955,,,
20.975,105.882,hoàng mai,0.006685801712766526,127800
20.962,105.834,hoàng mai,0.006561005640027262,128540
21.019,105.843,hai bà trưng,0.0013200503423774935,112617
21.015,105.797,cầu giấy,0.0051951261239801825,123080
21.006,105.834,đống đa,0.001805242462831989,116000
21.051,105.864,long biên,0.01080436699784665,125000
20.966,105.842,hoàng mai,0.014423100741810439,128540
21.023,105.842,hoàn kiếm,0.004907787619940104,111000
20.991,105.849,hai bà trưng,0.008581589512183801,113068
21.072,105.804,tây hồ,0.005391186823180023,124065
21.025,105.908,long biên,0.010271110294946874,125600
20.968,105.772,hà đông,0.005386052701414291,152150
20.995,105.845,hai bà trưng,0.00420924679195586,113068
21.035,105.748,nam từ liêm,0.0011669938075723383,129629
21.031,105.834,ba đình,0.0035613916112082326,118733
21.05,105.814,tây hồ,0.006210285975538999,124600
20.868,105.842,,,
20.975,105.883,hoàng mai,0.006126136183803531,127800
21.054,105.877,long biên,0.006556967761426827,125000
21.032,105.845,hoàn kiếm,0.0001944400257162189,111400
21.023,105.832,đống đa,0.006026704482790618,115490
21.022,105.777,nam từ liêm,0.009347137790488574,130679
21.06,105.894,long biên,0.003935947039988409,125400
21.03,105.916,long biên,0.0015887122744284684,125600
21.03,105.827,ba đình,0.003920634797136865,118518
21.031,105.855,hoàn kiếm,0.003982888039163673,110019
21.045,105.775,cầu giấy,0.0033523910783926237,122913
21.044,105.845,ba đình,0.0040712129691809155,118600
21.08,105.788,bắc từ liêm,0.002128447890925204,143311
21.209,105.842,,,
21.124,105.865,,,
20.996,105.83,thanh xuân,0.007485181383374932,120700
20.983,105.749,hà đông,0.003037579990715082,152611
20.99,105.836,thanh xuân,0.01545885572550543,120700
21.032,105.831,ba đình,0.0004093289733187631,118733
21.045,105.752,bắc từ liêm,0.029463030005277682,143110
21.045,105.82,tây hồ,0.012593679045372785,124600
21.064,105.83,tây hồ,0.015511255040266063,124700
21.072,105.798,bắc từ liêm,0.000591114288869057,143310
21.036,105.855,hoàn kiếm,0.0016145395047868158,111515
21.01,105.838,đống đa,0.0038689766540425307,116000
20.989,105.743,hà đông,0.010601230692711544,152611
21.015,105.746,nam từ liêm,0.018814207729361643,130658
21.019,105.82,đống đa,0.0034254104954572883,117127
20.981,105.818,hoàng mai,0.00027882462965078615,128252
