address,lat,long
"Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.065,105.293
"Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.065,105.294
"Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.065,105.295
"Đường tỉnh 317, Yến Mao, Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.065,105.296
"Đường tỉnh 317, Yến Mao, Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.065,105.297
"Đường tỉnh 317, Yến Mao, Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.065,105.298
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.299
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.300
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.301
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.302
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.303
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.304
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.305
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.306
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.307
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.308
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.309
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.310
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.311
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.312
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.313
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.314
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.315
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.316
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.317
"Đường tỉnh 415, Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.318
"Đường tỉnh 415, Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.319
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.320
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.321
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.322
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.323
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.324
"Nhà hàng Bản Coốc Garden, Đường tỉnh 415, Minh Quang, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.325
"Nhà hàng Bản Coốc Garden, Đường tỉnh 415, Minh Quang, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.326
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.327
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.328
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.065,105.329
