address,lat,long


"Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.966,105.899

"Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.966,105.901





"Kim Lan, Xã Kim Lan, Huyện Gia Lâm, Thành phố Hà Nội, 1310, Việt Nam",20.966,105.907


"Kim Lan, Xã Kim Lan, Huyện Gia Lâm, Thành phố Hà Nội, 1310, Việt Nam",20.966,105.910
"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.966,105.911
"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.966,105.912


























"Ecopark, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.966,105.939














"Đường cao tốc Hà Nội - Hải Phòng, Xã Kiêu Kỵ, Huyện Gia Lâm, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.966,105.954


"Long Hưng, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.966,105.957

























"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.967,105.917






























"Ecopark, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.967,105.948
























"Kim Lan, Xã Kim Lan, Huyện Gia Lâm, Thành phố Hà Nội, 1310, Việt Nam",20.968,105.907
"Kim Lan, Xã Kim Lan, Huyện Gia Lâm, Thành phố Hà Nội, 1310, Việt Nam",20.968,105.908

"Xã Kim Lan, Huyện Gia Lâm, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.910
"Xã Kim Lan, Huyện Gia Lâm, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.911

"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.913
"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.914
"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.915
"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.916

"Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.918
"Đường tỉnh 378, Xuân Quan, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.919

"Ecopark, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.921
"Ecopark, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.922
"Ecopark, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.923

"Ecopark, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.925

"Ecopark, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.968,105.927
"Ecopark, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.968,105.928

"Cầu Bắc Hưng Hải, Ecopark, Văn Giang, Tỉnh Hưng Yên, 1310, Việt Nam",20.968,105.930
"Ecopark, Văn Giang, Tỉnh Hưng Yên, 163525, Việt Nam",20.968,105.931
