address,lat,long
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.120,105.293
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.294
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.295
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.296
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.297
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.298
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.299
"Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.12,105.3
"Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.12,105.301
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.302
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.303
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.304
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.305
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.306
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.307
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.308
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.309
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.31
"Đường tỉnh 317, Đồng Luận, Thanh Thủy, Tỉnh Phú Thọ, 12627, Việt Nam",21.12,105.311
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.312
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.313
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.314
"Thanh Thủy, Tỉnh Phú Thọ, Việt Nam",21.12,105.315
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.316
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.317
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.318
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.319
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.32
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.321
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.322
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.323
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.324
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.325
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.326
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.327
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.328
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.329
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.33
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.331
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.332
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.333
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.334
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.335
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.336
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.337
"Ba Vì, Thành phố Hà Nội, 12627, Việt Nam",21.12,105.338
"Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.339
