Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá
128300,Bưu cục cấp 3 Đô Thị Định Công,"12D18, Khu chung cư Định Công, Phường Định Công, Quận Hoàng Mai",20.98441327,105.8334252,hoàng mai,12
127800,Bưu cục cấp 3 Trần Phú,"585 Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai",20.98029255,105.8860852,hoàng mai,15
116000,Bưu cục cấp 3 Kim Liên,"Dãy nhà B15, Khu tập thể Kim Liên, Phường Kim Liên, Quận Đống Đa",21.00741414,105.8351221,đống đa,20
120500,Bưu cục cấp 3 Thanh Xuân Bắc,"Dãy nhà C10, Khu tập thể Thanh Xuân Bắc, Phường Thanh Xuân Bắc, Quận Thanh Xuân",21.02314833,105.8140952,thanh xuân,18
118400,Bưu cục cấp 3 Giảng Võ,"Dãy nhà D2, Khu tập thể Giảng Võ, Phường Giảng Võ, Quận Ba Đình",21.02614366,105.8224256,ba đình,16
112200,Bưu cục cấp 3 Nguyễn Công Trứ,"Dãy nhà N8, Khu tập thể Nguyễn Công Trứ, Phường Phố Huế, Quận Hai Bà Trưng",21.01311787,105.8524946,hai bà trưng,11
128200,Bưu cục cấp 3 Bắc Linh Đàm,"Khu Đô Thị Bắc Linh Đàm, Phường Đại Kim, Quận Hoàng Mai",20.97053374,105.8263102,hoàng mai,14
128376,Bưu cục văn phòng BĐTT6,"Phố Định Công, Phường Định Công, Quận Hoàng Mai",20.98474119,105.8393173,hoàng mai,5
151831,Điểm BĐVHX Vạn Phúc,"Sô´0 số, Khối Chiến Thắng, Phường Vạn Phúc, Quận Hà Đông",20.97930116,105.7960147,hà đông,12
151081,Điểm BĐVHX Mộ Lao,"Sô´0 số, Khối Mỗ Lao, Phường Mỗ Lao, Quận Hà Đông",20.98390653,105.7813981,hà đông,7
152480,Điểm BĐVHX Phú Lương,"Sô´0 số, Tổ dân phố số 9 Nhân Trạch, Phường Phú Lương, Quận Hà Đông",20.94180823,105.76722,hà đông,18
152382,Điểm BĐVHX Bưu điện Kiến Hưng,"Sô´0, Tổ dân phố số 9, Phường Kiến Hưng, Quận Hà Đông",20.96383135,105.7847346,hà đông,20
123075,Bưu cục cấp 3 KHL EMS,"Sô´01, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy",21.01354812,105.8020459,cầu giấy,10
151506,Bưu cục văn phòng VP Công ty VCKV BĐ,"Sô´1, Phố Chu Văn An, Phường Yết Kiêu, Quận Hà Đông",20.97395745,105.7780475,hà đông,20
110307,Hòm thư Công cộng độc lập phố Hàng Đào,"Sô´1, Phố Hàng Đào, Phường Hàng Đào, Quận Hoàn Kiếm",21.03428913,105.8507735,hoàn kiếm,9
111413,Bưu cục văn phòng In báo Quân Đội,"Sô´1, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm",21.0374703,105.8459816,hoàn kiếm,14
116177,Hòm thư Công cộng độc lập Trường Đại học Y,"Sô´1, Phố Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa",21.0059966,105.8312052,đống đa,16
101006,Bưu cục cấp 3 [EMS] Giao dịch Tân Xuân,"Sô´1, Đường Tân Xuân, Xã Xuân Đỉnh, Quận Nam Từ Liêm",21.07817613,105.7864158,nam từ liêm,10
143110,Bưu cục cấp 3 KHL Bắc Từ Liêm 2,"Sô´10, Đường 32, Phường Minh Khai, Quận Bắc Từ Liêm",21.03673354,105.7802796,bắc từ liêm,19
143310,Bưu cục cấp 3 Xuân Đỉnh,"Sô´101, Dãy nhà CT1, Khu tập thể Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm",21.07158425,105.7975798,bắc từ liêm,15
110911,Hòm thư Công cộng độc lập phố Hàng Bạc,"Sô´101, Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm",21.03434347,105.8520504,hoàn kiếm,8
151090,Bưu cục cấp 3 Văn Mỗ,"Sô´105, Phố Trần Phú, Phường Văn Quán, Quận Hà Đông",20.97714106,105.783569,hà đông,16
152150,Điểm BĐVHX Hà Cầu,"Sô´109, Khu Hà Trì ( Đường Trục Chính ), Phường Hà Cầu, Quận Hà Đông",20.96645132,105.7771586,hà đông,5
113100,Bưu cục cấp 3 Lò Đúc,"Sô´114, Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng",21.01350925,105.8577827,hai bà trưng,5
127580,Bưu cục cấp 3 Nguyễn An Ninh,"Sô´12, Phố Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai",20.98902097,105.8463936,hoàng mai,9
129629,Điểm BĐVHX Bưu điện Xuân Phương,"Sô´129, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm",21.03468437,105.7468765,nam từ liêm,8
123105,Hòm thư Công cộng độc lập trường Đại học Quốc gia Hà Nội,"Sô´136, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy",21.03685368,105.7843146,cầu giấy,13
118977,Hòm thư Công cộng độc lập - 14 Láng Hạ,"Sô´14, Phố Láng Hạ, Phường Thành Công, Quận Ba Đình",21.0197123,105.8166216,ba đình,20
129049,Bưu cục cấp 3 BC KHL Nam Từ Liêm 2,"Sô´14, Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm",21.03737591,105.7666771,nam từ liêm,11
143610,Bưu cục cấp 3 Đức Thắng,"Sô´14, Đường Phố Viên, Phường Đức Thắng, Quận Bắc Từ Liêm",21.07199929,105.7762187,bắc từ liêm,16
152440,Bưu cục cấp 3 Phú Lãm,"Sô´141, Phố Xốm, Phường Phú Lãm, Quận Hà Đông",20.94395575,105.7568764,hà đông,14
111212,Đại lý bưu điện Phùng Hưng,"Sô´143, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm",21.03252612,105.8453375,hoàn kiếm,18
129000,Bưu cục cấp 2 Cầu Diễn 2,"Sô´149, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm",21.04035513,105.7650008,nam từ liêm,14
152797,Bưu cục cấp 3 KHL EMS Hà Đông,"Sô´15, Phố Văn La, Phường Phú La, Quận Hà Đông",20.95669766,105.7639231,hà đông,14
128252,Bưu cục cấp 3 Kim Giang,"Sô´152, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai",20.98079829,105.8178075,hoàng mai,17
118733,Bưu cục cấp 3 Giao dịch EMS Ba Đình 1,"Sô´152B, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình",21.03221728,105.8306531,ba đình,16
122000,Bưu cục cấp 2 Cầu Giấy,"Sô´165, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy",21.03264761,105.7983391,cầu giấy,5
124700,Bưu cục cấp 3 Yên Phụ,"Sô´16A, Phố Yên Phụ, Phường Yên Phụ, Quận Tây Hồ",21.05130171,105.838908,tây hồ,11
111400,Bưu cục cấp 3 Hàng Cót,"Sô´16D, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm",21.03219444,105.8449999,hoàn kiếm,11
