Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
100900|Bưu cục cấp 3 Hà Nội KT1|Sô´175, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình|21.03179472|105.8308293|ba đình
118728|Bưu cục cấp 3 Nguyễn Thái Học|Sô´49, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình|21.02915211|105.8406576|ba đình
100901|Bưu cục cấp 3 [TW] GD cục BĐTW Hà Nội|Sô´175, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình|21.03179472|105.8308293|ba đình
100902|Bưu cục cấp 3 [TW] GD cục BĐTW Hà Nội|Sô´175, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình|21.03179472|105.8308293|ba đình
118733|Bưu cục cấp 3 Giao dịch EMS Ba Đình 1|Sô´152B, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình|21.03221728|105.8306531|ba đình
118734|Bưu cục cấp 3 EMS Cục Xuất Nhập Cảnh|Sô´44-46, Phố Trần Phú, Phường Điện Biên, Quận Ba Đình|21.03162354|105.8379452|ba đình
118000|Bưu cục cấp 3 Cống Vị|Sô´218, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình|21.03790167|105.8090614|ba đình
118028|Bưu cục cấp 3 Đốc Ngữ|Sô´440, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình|21.03781757|105.8106133|ba đình
118600|Bưu cục cấp 3 Quán Thánh|Sô´8, Phố Quán Thánh, Phường Nguyễn Trung Trực, Quận Ba Đình|21.04046002|105.8470108|ba đình
118800|Bưu cục cấp 3 Thanh Niên|Số 1, Phố Trấn Vũ, Phường Trúc Bạch, Quận Ba Đình|21.04445498|105.8382919|ba đình
118030|Bưu cục cấp 3 Bưu cục Đại sứ quán Mỹ|Sô´170, Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình|21.02473063|105.8188342|ba đình
118400|Bưu cục cấp 3 Giảng Võ|Dãy nhà D2, Khu tập thể Giảng Võ, Phường Giảng Võ, Quận Ba Đình|21.02614366|105.8224256|ba đình
119350|Bưu cục cấp 3 Vĩnh Phúc|Dãy nhà D, Khu tập thể Di Dân Vĩnh Phúc 7,2 Ha, Phường Vĩnh Phúc, Quận Ba Đình|21.04301739|105.8093932|ba đình
119346|Bưu cục cấp 3 Giao dịch EMS Ba Đình 2|Sô´70, Phố Đốc Ngữ, Phường Vĩnh Phúc, Quận Ba Đình|21.04045927|105.8129384|ba đình
119368|Bưu cục cấp 3 Bưu cục Thương mại điện tử Vĩnh Phúc|Dãy nhà D, Khu tập thể Di Dân Vĩnh Phúc 7,2 Ha, Phường Vĩnh Phúc, Quận Ba Đình|21.04301739|105.8093932|ba đình
119511|Bưu cục cấp 3 Trung tâm dịch vụ Ba Đình|Sô´281, Phố Đội Cấn, Phường Liễu Giai, Quận Ba Đình|21.03517878|105.8202341|ba đình
119197|Hòm thư Công cộng độc lập phố Nghĩa Dũng|Sô´57, Phố Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình|21.04787844|105.8473463|ba đình
118518|Hòm thư Công cộng độc lập - 248 Kim Mã|Sô´248, Phố Kim Mã, Phường Kim Mã, Quận Ba Đình|21.03198005|105.8236161|ba đình
118977|Hòm thư Công cộng độc lập - 14 Láng Hạ|Sô´14, Phố Láng Hạ, Phường Thành Công, Quận Ba Đình|21.0197123|105.8166216|ba đình
