Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
143110|Bưu cục cấp 3 KHL Bắc Từ Liêm 2|Sô´10, Đường 32, Phường Minh Khai, Quận Bắc Từ Liêm|21.03673354|105.7802796|bắc từ liêm
143510|Bưu cục cấp 3 Nhổn|Sô´10, Đường Phố Nhổn, Phường Tây Tựu, Quận Bắc Từ Liêm|21.05484635|105.7325961|bắc từ liêm
143520|Bưu cục cấp 3 Bưu cục Thương mại điện tử Bắc Từ Liêm|Sô´10, Đường Phố Nhổn, Phường Tây Tựu, Quận Bắc Từ Liêm|21.05484635|105.7325961|bắc từ liêm
143610|Bưu cục cấp 3 Đức Thắng|Sô´14, Đường Phố Viên, Phường Đức Thắng, Quận Bắc Từ Liêm|21.07199929|105.7762187|bắc từ liêm
143310|Bưu cục cấp 3 Xuân Đỉnh|Sô´101, Dãy nhà CT1, Khu tập thể Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm|21.07158425|105.7975798|bắc từ liêm
143315|Bưu cục cấp 3 BCP [EMS] COD Tân Xuân|Sô´1, Đường Tân Xuân, Phường Xuân Đỉnh, Quận Bắc Từ Liêm|21.07822909|105.7864479|bắc từ liêm
143320|Bưu cục cấp 3 Tân Xuân|Sô´1, Đường Tân Xuân, Phường Xuân Đỉnh, Quận Bắc Từ Liêm|21.07822909|105.7864479|bắc từ liêm
143312|Bưu cục cấp 3 EMS Postmart|Sô´1, Đường Tân Xuân, Phường Xuân Đỉnh, Quận Bắc Từ Liêm|21.07822909|105.7864479|bắc từ liêm
143313|Bưu cục cấp 3 KHL TCTY EMS 1|Sô´1, Đường Tân Xuân, Phường Xuân Đỉnh, Quận Bắc Từ Liêm|21.07822909|105.7864479|bắc từ liêm
143330|Bưu cục cấp 3 Kho EMS TMĐT|Sô´km12, Dãy nhà A, Khu tập thể T262, Phường Phúc Diễn, Quận Bắc Từ Liêm|21.04559728|105.7520092|bắc từ liêm
143314|Bưu cục cấp 3 Bưu cục Logistics EMS Hà Nội|Sô´km12, Dãy nhà A, Khu tập thể T262, Phường Phúc Diễn, Quận Bắc Từ Liêm|21.04559728|105.7520092|bắc từ liêm
100996|Bưu cục Phát hành Báo chí Khai thác và vận chuyển báo chí 3|Sô´159, Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm|21.09314413|105.7799695|bắc từ liêm
100994|Bưu cục Khai thác Liên tỉnh KT Lịch|Sô´159, Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm|21.09314413|105.7799695|bắc từ liêm
143311|Bưu cục văn phòng VCKVMB-UPS|Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm|21.07832762|105.7866834|bắc từ liêm
