Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
122000|Bưu cục cấp 2 Cầu Giấy|Sô´165, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy|21.03264761|105.7983391|cầu giấy
122772|Bưu cục cấp 3 Hoàng Sâm|Sô´8, Phố Hoàng Sâm, Phường Nghĩa Đô, Quận Cầu Giấy|21.04581489|105.7995332|cầu giấy
123080|Bưu cục cấp 3 EMS Cầu Giấy|Sô´T. N09,193, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy|21.01803779|105.7927856|cầu giấy
123075|Bưu cục cấp 3 KHL EMS|Sô´01, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy|21.01354812|105.8020459|cầu giấy
123068|Bưu cục cấp 3 Trung Hòa|Đường Trung Yên 3, Phường Trung Hòa, Quận Cầu Giấy|21.01607632|105.8011482|cầu giấy
122320|Bưu cục cấp 3 Nghĩa Tân|Sô´P100, Dãy nhà A15, Khu tập thể Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy|21.04492383|105.7944075|cầu giấy
122300|Bưu cục cấp 3 Hoàng Quốc Việt|Sô´393, Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy|21.04601007|105.791191|cầu giấy
122913|Bưu cục cấp 3 Doãn Kế Thiện|Sô´46, Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy|21.04189495|105.7762638|cầu giấy
122080|Bưu cục cấp 3 Trung tâm dịch vụ Cầu Giấy|Sô´CT4-5, Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy|21.02246419|105.7878923|cầu giấy
123071|Bưu cục cấp 3 EMS KHL Cầu Giấy|Sô´Tòa N02, Ngõ 259, Phố Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy|21.02024639|105.7932248|cầu giấy
122801|Hòm thư Công cộng độc lập trường Đại học Thương mại|Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy|21.03807658|105.7737483|cầu giấy
123105|Hòm thư Công cộng độc lập trường Đại học Quốc gia Hà Nội|Sô´136, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy|21.03685368|105.7843146|cầu giấy
123069|Bưu cục văn phòng BĐTT3|Đường Trung Yên 3, Phường Trung Hòa, Quận Cầu Giấy|21.01607632|105.8011482|cầu giấy
