Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá
116000,Bưu cục cấp 3 Kim Liên,"Dãy nhà B15, Khu tập thể Kim Liên, Phường Kim Liên, Quận Đống Đa",21.00741414,105.8351221,đống đa,20
120500,Bưu cục cấp 3 Thanh Xuân Bắc,"Dãy nhà C10, Khu tập thể Thanh Xuân Bắc, Phường Thanh Xuân Bắc, Quận Thanh Xuân",21.02314833,105.8140952,thanh xuân,18
118400,Bưu cục cấp 3 Giảng Võ,"Dãy nhà D2, Khu tập thể Giảng Võ, Phường Giảng Võ, Quận Ba Đình",21.02614366,105.8224256,ba đình,16
112200,Bưu cục cấp 3 Nguyễn Công Trứ,"Dãy nhà N8, Khu tập thể Nguyễn Công Trứ, Phường Phố Huế, Quận Hai Bà Trưng",21.01311787,105.8524946,hai bà trưng,11
123075,Bưu cục cấp 3 KHL EMS,"Sô´01, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy",21.01354812,105.8020459,cầu giấy,10
110307,Hòm thư Công cộng độc lập phố Hàng Đào,"Sô´1, Phố Hàng Đào, Phường Hàng Đào, Quận Hoàn Kiếm",21.03428913,105.8507735,hoàn kiếm,9
111413,Bưu cục văn phòng In báo Quân Đội,"Sô´1, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm",21.0374703,105.8459816,hoàn kiếm,14
116177,Hòm thư Công cộng độc lập Trường Đại học Y,"Sô´1, Phố Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa",21.0059966,105.8312052,đống đa,16
101006,Bưu cục cấp 3 [EMS] Giao dịch Tân Xuân,"Sô´1, Đường Tân Xuân, Xã Xuân Đỉnh, Quận Nam Từ Liêm",21.07817613,105.7864158,nam từ liêm,10
110911,Hòm thư Công cộng độc lập phố Hàng Bạc,"Sô´101, Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm",21.03434347,105.8520504,hoàn kiếm,8
113100,Bưu cục cấp 3 Lò Đúc,"Sô´114, Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng",21.01350925,105.8577827,hai bà trưng,5
129629,Điểm BĐVHX Bưu điện Xuân Phương,"Sô´129, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm",21.03468437,105.7468765,nam từ liêm,8
123105,Hòm thư Công cộng độc lập trường Đại học Quốc gia Hà Nội,"Sô´136, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy",21.03685368,105.7843146,cầu giấy,13
118977,Hòm thư Công cộng độc lập - 14 Láng Hạ,"Sô´14, Phố Láng Hạ, Phường Thành Công, Quận Ba Đình",21.0197123,105.8166216,ba đình,20
