Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
116000|Bưu cục cấp 3 Kim Liên|Dãy nhà B15, Khu tập thể Kim Liên, Phường Kim Liên, Quận Đống Đa|21.00741414|105.8351221|đống đa
116830|Bưu cục cấp 3 KHL Đống Đa|Sô´305, Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa|21.00466344|105.8217684|đống đa
116825|Bưu cục cấp 3 Tây Sơn|Sô´305, Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa|21.00466344|105.8217684|đống đa
116868|Bưu cục cấp 3 Bưu cục Thương mại điện tử Đống Đa|Sô´305, Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa|21.00466344|105.8217684|đống đa
116177|Hòm thư Công cộng độc lập Trường Đại học Y|Sô´1, Phố Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa|21.0059966|105.8312052|đống đa
117130|Bưu cục cấp 3 [EMS] GD Thanh Xuân|Sô´172, Đường Láng, Phường Thịnh Quang, Quận Đống Đa|21.00528174|105.81737|đống đa
117127|Bưu cục cấp 3 Lãnh sự quán Mỹ MB|Sô´7, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa|21.02218032|105.8187276|đống đa
117000|Bưu cục cấp 3 Láng Trung|Sô´95, Phố Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa|21.01925353|105.8081429|đống đa
116700|Bưu cục cấp 3 Đặng Tiến Đông|Sô´47, Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa|21.01166882|105.8244196|đống đa
115356|Bưu cục cấp 3 Xã Đàn|Sô´360/40, Phố Nam Đồng, Phường Nam Đồng, Quận Đống Đa|21.01381115|105.8333263|đống đa
115490|Bưu cục cấp 3 Hoàng Cầu|Sô´9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa|21.01925427|105.8272787|đống đa
115070|Bưu cục cấp 3 [EMS] Đống Đa|Sô´45 ngõ 9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa|21.01912626|105.8272622|đống đa
115545|Bưu cục cấp 3 [EMS] Cát Linh|Sô´19, Phố Cát Linh, Phường Cát Linh, Quận Đống Đa|21.02896928|105.830768|đống đa
115000|Bưu cục cấp 2 Đống Đa|Sô´35, Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa|21.00723615|105.8210928|đống đa
