Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
150000|Bưu cục cấp 2 Hà Đông|Sô´4, Đường Quang Trung ( 0 Số ), Phường Yết Kiêu, Quận Hà Đông|20.97350071|105.7782493|hà đông
152080|Bưu cục cấp 3 Trung tâm dịch vụ Hà Đôn|Sô´4, Đường Quang Trung ( 0 Số ), Phường Yết Kiêu, Quận Hà Đông|20.97350071|105.7782493|hà đông
151507|Bưu cục cấp 3 PHBC Postmart Hà Đông|Sô´4, Phố Yết Kiêu, Phường Yết Kiêu, Quận Hà Đông|20.97508508|105.7796776|hà đông
151090|Bưu cục cấp 3 Văn Mỗ|Sô´105, Phố Trần Phú, Phường Văn Quán, Quận Hà Đông|20.97714106|105.783569|hà đông
152290|Bưu cục cấp 3 La Khê|Sô´No09, Đường Lê Văn Lương kéo dài, Phường La Khê, Quận Hà Đông|21.00663266|105.8064207|hà đông
152415|Bưu cục cấp 3 KĐT Thanh Hà|Sô´HH02A, Dãy nhà HH02A, Khu đô thị Thanh Hà CIENCO5, Phường Kiến Hưng, Quận Hà Đông|20.93210186|105.7840411|hà đông
152440|Bưu cục cấp 3 Phú Lãm|Sô´141, Phố Xốm, Phường Phú Lãm, Quận Hà Đông|20.94395575|105.7568764|hà đông
152455|Bưu cục cấp 3 Ba La|Sô´86, Tổ dân phố số 9, Phường Phú Lãm, Quận Hà Đông|20.95590733|105.7575956|hà đông
152793|Bưu cục cấp 3 Giao Dịch Văn Phú|Phố Văn Phú, Phường Phú La, Quận Hà Đông|20.96201263|105.7685865|hà đông
152794|Bưu cục cấp 3 Ban DVBC -Test3|Phố Văn Phú, Phường Phú La, Quận Hà Đông|20.96201263|105.7685865|hà đông
152795|Bưu cục cấp 3 TMĐT Hà Đông|Phố Văn Phú, Phường Phú La, Quận Hà Đông|20.96201263|105.7685865|hà đông
152797|Bưu cục cấp 3 KHL EMS Hà Đông|Sô´15, Phố Văn La, Phường Phú La, Quận Hà Đông|20.95669766|105.7639231|hà đông
152785|Bưu cục cấp 3 KHL EMS Nam Từ Liêm|Sô´28, Lô nhà 0 số, Khu đô thị mới Mộ Lao, Phường Mỗ Lao, Quận Hà Đông|20.98390653|105.7813981|hà đông
151831|Điểm BĐVHX Vạn Phúc|Sô´0 số, Khối Chiến Thắng, Phường Vạn Phúc, Quận Hà Đông|20.97930116|105.7960147|hà đông
152261|Điểm BĐVHX Văn Khê|Sô´37, Phố Phan Đình Giót, Phường La Khê, Quận Hà Đông|20.96614031|105.7659128|hà đông
152150|Điểm BĐVHX Hà Cầu|Sô´109, Khu Hà Trì ( Đường Trục Chính ), Phường Hà Cầu, Quận Hà Đông|20.96645132|105.7771586|hà đông
152382|Điểm BĐVHX Bưu điện Kiến Hưng|Sô´0, Tổ dân phố số 9, Phường Kiến Hưng, Quận Hà Đông|20.96383135|105.7847346|hà đông
152611|Điểm BĐVHX Dương Nội|Sô´73, Thôn La Nội, Phường Dương Nội, Quận Hà Đông|20.9799906|105.7485872|hà đông
152351|Điểm BĐVHX Yên Nghĩa|Tổ dân phố số 10 - Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông|20.95630262|105.7308827|hà đông
152480|Điểm BĐVHX Phú Lương|Sô´0 số, Tổ dân phố số 9 Nhân Trạch, Phường Phú Lương, Quận Hà Đông|20.94180823|105.76722|hà đông
152570|Điểm BĐVHX Biên Giang|Sô´237, Đường Biên Giang, Phường Biên Giang, Quận Hà Đông|20.93067116|105.7172711|hà đông
151081|Điểm BĐVHX Mộ Lao|Sô´0 số, Khối Mỗ Lao, Phường Mỗ Lao, Quận Hà Đông|20.98390653|105.7813981|hà đông
151506|Bưu cục văn phòng VP Công ty VCKV BĐ|Sô´1, Phố Chu Văn An, Phường Yết Kiêu, Quận Hà Đông|20.97395745|105.7780475|hà đông
152071|Bưu cục văn phòng BĐTT2|Đường Quang Trung, Phường Quang Trung, Quận Hà Đông|20.97350071|105.7782493|hà đông
