Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
112310|Bưu cục cấp 3 Vân Hồ|Sô´2, Phố Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng|21.01084626|105.8459106|hai bà trưng
112200|Bưu cục cấp 3 Nguyễn Công Trứ|Dãy nhà N8, Khu tập thể Nguyễn Công Trứ, Phường Phố Huế, Quận Hai Bà Trưng|21.01311787|105.8524946|hai bà trưng
113100|Bưu cục cấp 3 Lò Đúc|Sô´114, Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng|21.01350925|105.8577827|hai bà trưng
112618|Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 2|Sô´67, Phố Ngô Thì Nhậm, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng|21.0141319|105.8536426|hai bà trưng
112300|Bưu cục cấp 3 Chuyển Tiền|Sô´18, Phố Nguyễn Du, Phường Bùi Thị Xuân, Quận Hai Bà Trưng|21.01863946|105.8507298|hai bà trưng
113713|Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 1|Sô´186, Phố Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng|21.00885444|105.8641805|hai bà trưng
113360|Bưu cục cấp 3 Kim Ngưu|Sô´227, Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng|21.00521597|105.8615643|hai bà trưng
113355|Bưu cục cấp 3 Bưu cục Thương mại điện tử Kim Ngưu|Sô´227, Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng|21.00521597|105.8615643|hai bà trưng
112400|Bưu cục cấp 3 Bách Khoa|Sô´P12-A17, Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng|21.00397069|105.8475064|hai bà trưng
113900|Bưu cục cấp 3 Chợ Mơ|Sô´185, Phố Minh Khai, Phường Trương Định, Quận Hai Bà Trưng|20.99537635|105.8572265|hai bà trưng
114089|Bưu cục cấp 3 Trung tâm dịch vụ Hai Bà Trưng|Sô´25, Phố Trương Định, Phường Trương Định, Quận Hai Bà Trưng|20.99517338|105.8499096|hai bà trưng
113955|Bưu cục cấp 3 Bưu cục Thương mại điện tử Hoàng Mai|Sô´25, Phố Trương Định, Phường Trương Định, Quận Hai Bà Trưng|20.99517338|105.8499096|hai bà trưng
112617|Hòm thư Công cộng độc lập Khách sạn Nikko|Sô´68, Phố Trần Nhân Tông, Phường Nguyễn Du, Quận Hai Bà Trưng|21.01784742|105.8423565|hai bà trưng
114001|Hòm thư Công cộng độc lập Bệnh viện Thanh Nhàn|Sô´48, Phố Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng|21.00312412|105.8527549|hai bà trưng
113068|Hòm thư Công cộng độc lập Trường Đại học KTQD|Sô´187, Phố Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng|20.99906884|105.8460781|hai bà trưng
