Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
110000|Bưu cục cấp 2 Tràng Tiền|Sô´66, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02578733|105.853382|hoàn kiếm
111770|Bưu cục cấp 3 Bưu cục Giao dịch 5|Sô´78, Đường Bạch Đằng, Phường Chương Dương Độ, Quận Hoàn Kiếm|21.0102273|105.8679702|hoàn kiếm
111300|Bưu cục cấp 3 Đồng Xuân|Sô´18, Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm|21.03797029|105.8490644|hoàn kiếm
110220|Bưu cục cấp 3 Lương Văn Can|Sô´66, Phố Lương Văn Can, Phường Hàng Trống, Quận Hoàn Kiếm|21.03309467|105.8490702|hoàn kiếm
111400|Bưu cục cấp 3 Hàng Cót|Sô´16D, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm|21.03219444|105.8449999|hoàn kiếm
100100|Bưu cục cấp 3 Quốc Tế|Sô´6, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02627818|105.8535641|hoàn kiếm
100993|Bưu cục cấp 3 PPBL Hà Nội|Sô´15, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.0260851|105.8536889|hoàn kiếm
110140|Bưu cục cấp 3 Phát nhanh|Sô´75b, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm|21.026424|105.8537011|hoàn kiếm
110130|Bưu cục cấp 3 Trung tâm dịch vụ Hoàn Kiếm|Sô´75b, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm|21.026424|105.8537011|hoàn kiếm
110123|Bưu cục cấp 3 Đường thư Đại sứ - Phát nhanh|Sô´75b, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm|21.026424|105.8537011|hoàn kiếm
110126|Bưu cục cấp 3 Ban DVBC -Test2|Sô´75, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm|21.026424|105.8537011|hoàn kiếm
110128|Bưu cục cấp 3 KHL Hoàn Kiếm 2|Sô´75, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm|21.026424|105.8537011|hoàn kiếm
110134|Bưu cục cấp 3 PHBCTW_DLHN|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
110137|Bưu cục cấp 3 PHBCTW Dài hạn HN|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
110019|Bưu cục cấp 3 PHBC Postmart Lê Thạch|Sô´2, Phố Lê Thạch, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02712965|105.8540599|hoàn kiếm
110422|Bưu cục cấp 3 Trần Hưng Đạo|Sô´14, Phố Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm|21.0205611|105.8579622|hoàn kiếm
110424|Bưu cục cấp 3 Giao dịch Công ty Tem|Sô´14, Phố Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm|21.0205611|105.8579622|hoàn kiếm
111100|Bưu cục cấp 3 Cửa Nam|Sô´22, Phố Cửa Nam, Phường Cửa Nam, Quận Hoàn Kiếm|21.02799153|105.8418634|hoàn kiếm
111000|Bưu cục cấp 3 Tháp Hà Nội|Sô´49, Phố Hai Bà Trưng, Phường Trần Hưng Đạo, Quận Hoàn Kiếm|21.02643582|105.8455045|hoàn kiếm
111212|Đại lý bưu điện Phùng Hưng|Sô´143, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm|21.03252612|105.8453375|hoàn kiếm
100995|Bưu cục Phát hành Báo chí KT VCBC 2|Sô´4, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm|21.03762619|105.8465941|hoàn kiếm
100990|Bưu cục Phát hành Báo chí KT VCBC 1|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
100991|Bưu cục Phát hành Báo chí GD PHBCTW 1|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
100992|Bưu cục Phát hành Báo chí PHBCTW Hà Nội|Sô´15, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02613518|105.8537104|hoàn kiếm
100997|Bưu cục Phát hành Báo chí POST MART|Sô´22, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02498881|105.8560005|hoàn kiếm
100998|Bưu cục Phát hành Báo chí POST MART|Sô´22, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02498881|105.8560005|hoàn kiếm
100999|Bưu cục Phát hành Báo chí POST MART|Sô´22, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02498881|105.8560005|hoàn kiếm
110170|Bưu cục Chuyển phát nhanh (EMS) Giao dịch EMS Hoàn Kiếm|Sô´22, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02498881|105.8560005|hoàn kiếm
110911|Hòm thư Công cộng độc lập phố Hàng Bạc|Sô´101, Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm|21.03434347|105.8520504|hoàn kiếm
111515|Hòm thư Công cộng độc lập phố Hàng Buồm|Sô´28, Phố Mã Mây, Phường Hàng Buồm, Quận Hoàn Kiếm|21.03555325|105.8534485|hoàn kiếm
110307|Hòm thư Công cộng độc lập phố Hàng Đào|Sô´1, Phố Hàng Đào, Phường Hàng Đào, Quận Hoàn Kiếm|21.03428913|105.8507735|hoàn kiếm
110201|Hòm thư Công cộng độc lập Thư viện Quốc gia|Sô´31, Phố Tràng Thi, Phường Hàng Trống, Quận Hoàn Kiếm|21.02905807|105.8496358|hoàn kiếm
110401|Hòm thư Công cộng độc lập Công ty Tem|Sô´14, Phố Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm|21.0205611|105.8579622|hoàn kiếm
110402|Hòm thư Công cộng độc lập Khách sạn Hilton Opera|Sô´6, Phố Đặng Thái Thân, Phường Phan Chu Trinh, Quận Hoàn Kiếm|21.02311878|105.8582716|hoàn kiếm
110513|Hòm thư Công cộng độc lập phố Nguyễn Chế Nghĩa|Sô´4, Phố Nguyễn Chế Nghĩa, Phường Hàng Bài, Quận Hoàn Kiếm|21.02043008|105.8528632|hoàn kiếm
111413|Bưu cục văn phòng In báo Quân Đội|Sô´1, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm|21.0374703|105.8459816|hoàn kiếm
110124|Bưu cục văn phòng PostMart|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
110125|Bưu cục văn phòng VP BĐ TP Hà Nội|Sô´75, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm|21.026424|105.8537011|hoàn kiếm
110131|Bưu cục văn phòng VP Trung tâm PHBC|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
110132|Bưu cục văn phòng VP Trung tâm PPBLHH|Sô´17, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm|21.02617602|105.8545261|hoàn kiếm
110426|Bưu cục văn phòng VP Công ty Tem|Sô´14, Phố Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm|21.0205611|105.8579622|hoàn kiếm
110425|Bưu cục văn phòng Quản lý tập trung Công ty Tem|Sô´14, Phố Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm|21.0205611|105.857962|hoàn kiếm
