Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
127580|Bưu cục cấp 3 Nguyễn An Ninh|Sô´12, Phố Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai|20.98902097|105.8463936|hoàng mai
128180|Bưu cục cấp 3 KHL Hoàng Mai 2|Sô´317, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai|20.9866851|105.8611772|hoàng mai
128181|Bưu cục cấp 3 Giải Phóng|Sô´811, Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai|20.98319029|105.8414461|hoàng mai
127800|Bưu cục cấp 3 Trần Phú|585 Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai|20.98029255|105.8860852|hoàng mai
128300|Bưu cục cấp 3 Đô Thị Định Công|12D18, Khu chung cư Định Công, Phường Định Công, Quận Hoàng Mai|20.98441327|105.8334252|hoàng mai
128200|Bưu cục cấp 3 Bắc Linh Đàm|Khu Đô Thị Bắc Linh Đàm, Phường Đại Kim, Quận Hoàng Mai|20.97053374|105.8263102|hoàng mai
128252|Bưu cục cấp 3 Kim Giang|Sô´152, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai|20.98079829|105.8178075|hoàng mai
128540|Bưu cục cấp 3 HH Linh Đàm|Sô´50, Lô nhà HH3C, Khu đô thị Bắc Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai|20.96392322|105.8277272|hoàng mai
128400|Điểm BĐVHX Yên Sở|Thôn Yên Duyên, Phường Yên Sở, Quận Hoàng Mai|20.96718657|105.8704812|hoàng mai
128600|Điểm BĐVHX Thanh Trì|Thôn Vĩnh Thuận, Phường Thanh Trì, Quận Hoàng Mai|20.99297483|105.8866564|hoàng mai
128376|Bưu cục văn phòng BĐTT6|Phố Định Công, Phường Định Công, Quận Hoàng Mai|20.98474119|105.8393173|hoàng mai
