Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
125600|Bưu cục cấp 3 Sài Đồng|Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên|21.02920053|105.9173729|long biên
125080|Bưu cục cấp 3 Bưu cục Thương mại điện tử Đài Tư|Sô´386, Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên|21.02739193|105.9236916|long biên
126468|Bưu cục cấp 3 Bưu cục Thương mại điện tử Long Biên|Sô´386, Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên|21.02739193|105.9236916|long biên
125400|Bưu cục cấp 3 Đức Giang|Sô´79, Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên|21.05829046|105.8904547|long biên
125656|Bưu cục cấp 3 Trung tâm dịch vụ Long Biên|Sô´26, Ngõ 53, Phố Đức Giang, Phường Đức Giang, Quận Long Biên|21.06239012|105.8972499|long biên
125000|Bưu cục cấp 3 Long Biên|Sô´366, Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên|21.04799062|105.8743768|long biên
126000|Điểm BĐVHX Giang Biên|Tổ 1, Phường Giang Biên, Quận Long Biên|21.06353169|105.9185042|long biên
125900|Điểm BĐVHX Thượng Thanh|Tổ 10, Phường Thượng Thanh, Quận Long Biên|21.05645393|105.8880393|long biên
125655|Bưu cục văn phòng Văn phòng TMĐT 1|Sô´386, Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên|21.02739193|105.9236916|long biên
126414|Bưu cục văn phòng BĐTT5|Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên|21.06580943|105.8979284|long biên
