Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
129000|Bưu cục cấp 2 Cầu Diễn 2|Sô´149, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm|21.04035513|105.7650008|nam từ liêm
129049|Bưu cục cấp 3 BC KHL Nam Từ Liêm 2|Sô´14, Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm|21.03737591|105.7666771|nam từ liêm
129733|Bưu cục cấp 3 Bưu cục Thương mại điện tử Từ Liêm|Đường 32, Xã Minh Khai, Quận Nam Từ Liêm|21.04011589|105.7649273|nam từ liêm
101006|Bưu cục cấp 3 [EMS] Giao dịch Tân Xuân|Sô´1, Đường Tân Xuân, Xã Xuân Đỉnh, Quận Nam Từ Liêm|21.07817613|105.7864158|nam từ liêm
129100|Bưu cục cấp 3 Thăng Long|Sô´5, Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.03031939|105.7798914|nam từ liêm
129140|Bưu cục cấp 3 Mỹ Đình 2|Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.04013822|105.7649456|nam từ liêm
129090|Bưu cục cấp 3 KHL Nam Từ Liêm|Sô´19, Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.03196078|105.7653905|nam từ liêm
100951|Bưu cục cấp 3 Ban DVBC -Test1|Sô´5, Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.03031939|105.7798914|nam từ liêm
130666|Bưu cục cấp 3 Dịch vụ số|Sô´5, Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.03031939|105.7798914|nam từ liêm
130679|Bưu cục cấp 3 PHBC Postmart Phạm Hùng|Sô´5, Thôn Phú Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.03084838|105.7739875|nam từ liêm
130675|Bưu cục cấp 3 Bưu cục Thương mại điện tử Nam Từ Liêm|Sô´19, Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm|21.03196078|105.7653905|nam từ liêm
130020|Bưu cục cấp 3 Đại Mỗ|Sô´522, Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm|20.99576254|105.7532964|nam từ liêm
130690|Bưu cục cấp 3 Xuân Phương|Sô´171, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm|21.03597414|105.7383564|nam từ liêm
130658|Bưu cục cấp 3 EMS KHL Từ Liêm|Sô´Ngõ 84, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm|21.03250106|105.7390944|nam từ liêm
129731|Điểm BĐVHX Bưu điện Minh Khai|Thôn Ngoạ Long, Xã Minh Khai, Quận Nam Từ Liêm|21.05124142|105.7454222|nam từ liêm
129629|Điểm BĐVHX Bưu điện Xuân Phương|Sô´129, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm|21.03468437|105.7468765|nam từ liêm
130000|Điểm BĐVHX Đại Mỗ|Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm|20.9958654|105.7533298|nam từ liêm
130301|Điểm BĐVHX Trung Văn|Thôn Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm|20.99306736|105.7781855|nam từ liêm
