Mã bưu cục|Bưu cục|Địa chỉ|lat|long|Quận
120000|Bưu cục cấp 2 Thanh Xuân|Sô´51, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99813336|105.8089856|thanh xuân
120080|Bưu cục cấp 2 KHL Thanh Xuân|Sô´51, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99813336|105.8089856|thanh xuân
120065|Bưu cục cấp 3 Giao dịch EMS Thanh Xuân 2|Sô´212, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99703935|105.8034723|thanh xuân
120433|Bưu cục cấp 3 Trung Tâm dịch vụ Thanh Xuân|Sô´51, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99813336|105.8089856|thanh xuân
120088|Bưu cục cấp 3 Bưu cục Thương mại điện tử Thanh Xuân|Sô´51, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99813336|105.8089856|thanh xuân
120069|Bưu cục cấp 3 Bưu cục Thương mại điện tử Cầu Giấy|Sô´51, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99813336|105.8089856|thanh xuân
120987|Bưu cục cấp 3 KHL EMS TMĐT 1|Sô´565, Đường Vũ Tông Phan, Phường Khương Trung, Quận Thanh Xuân|20.98477766|105.81525|thanh xuân
120700|Bưu cục cấp 3 Khương Mai|Sô´185, Phố Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân|20.99804539|105.8227997|thanh xuân
120120|Bưu cục cấp 3 Khương Đình|Sô´20, Đường Khương Đình, Phường Thượng Đình, Quận Thanh Xuân|20.99735282|105.8142316|thanh xuân
120500|Bưu cục cấp 3 Thanh Xuân Bắc|Dãy nhà C10, Khu tập thể Thanh Xuân Bắc, Phường Thanh Xuân Bắc, Quận Thanh Xuân|21.02314833|105.8140952|thanh xuân
120068|Bưu cục văn phòng VP Trung tâm Đào tạo|Sô´51, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân|20.99813336|105.8089856|thanh xuân
